dewpoint_banner_1_Humidity,dewpoint_banner_1_degreeC,dewpoint_banner_1_dewpoint,pt100_1_degC,timestamp_unix_s,timestamp_utc
39.98,25.15,10.58,31.770000457763672,1765548903.3975596,2025-12-12T14:15:03.397559+00:00
39.98,25.15,10.58,31.75,1765548904.3987613,2025-12-12T14:15:04.398761+00:00
39.98,25.15,10.58,31.719999313354492,1765548905.400094,2025-12-12T14:15:05.400093+00:00
39.98,25.15,10.58,31.68000030517578,1765548906.4011066,2025-12-12T14:15:06.401106+00:00
39.73,25.15,10.51,31.649999618530273,1765548907.4032333,2025-12-12T14:15:07.403233+00:00
39.73,25.15,10.51,31.6299991607666,1765548908.4098163,2025-12-12T14:15:08.409816+00:00
39.73,25.15,10.51,31.579999923706055,1765548909.4102635,2025-12-12T14:15:09.410263+00:00
39.73,25.15,10.51,31.559999465942383,1765548910.4113827,2025-12-12T14:15:10.411382+00:00
