senxtx_o2_current_mA,senxtx_o2_oxygen_percent,timestamp_unix_s,timestamp_utc
17.246,20.696875,1765535020.3637292,2025-12-12T10:23:40.363729+00:00
17.245,20.6953125,1765535021.364303,2025-12-12T10:23:41.364303+00:00
17.246,20.696875,1765535022.3655243,2025-12-12T10:23:42.365524+00:00
