timestamp,dp2200_pressure_bar
2025-12-10T15:57:59.754164+00:00,
2025-12-10T15:58:00.788241+00:00,
2025-12-10T15:58:01.815358+00:00,
2025-12-10T15:58:02.844815+00:00,
2025-12-10T15:58:03.855568+00:00,
2025-12-10T15:58:04.879620+00:00,
2025-12-10T15:58:05.908804+00:00,
2025-12-10T15:58:06.920163+00:00,
2025-12-10T15:58:07.949361+00:00,
2025-12-10T15:58:08.961606+00:00,
2025-12-10T15:58:09.988945+00:00,
2025-12-10T15:58:10.998571+00:00,
2025-12-10T15:58:12.008794+00:00,
2025-12-10T15:58:13.018548+00:00,
2025-12-10T15:58:14.028125+00:00,
2025-12-10T15:58:15.039664+00:00,
2025-12-10T15:58:16.049840+00:00,
2025-12-10T15:58:17.083188+00:00,
2025-12-10T15:58:18.093043+00:00,
2025-12-10T15:58:19.129430+00:00,
2025-12-10T15:58:20.153409+00:00,
2025-12-10T16:00:37.642526+00:00,
2025-12-10T16:00:38.686751+00:00,
2025-12-10T16:00:39.696657+00:00,
2025-12-10T16:00:40.729529+00:00,
2025-12-10T16:00:41.764991+00:00,
2025-12-10T16:00:42.790916+00:00,
2025-12-10T16:00:43.800979+00:00,
2025-12-10T16:00:44.810913+00:00,
2025-12-10T16:00:45.843013+00:00,
2025-12-10T16:00:46.853104+00:00,
2025-12-10T16:00:47.862009+00:00,
2025-12-10T16:00:48.871939+00:00,
2025-12-10T16:00:49.892583+00:00,
2025-12-10T16:00:50.902691+00:00,
2025-12-10T16:00:51.924672+00:00,
2025-12-10T16:00:52.933977+00:00,
2025-12-10T16:00:53.944407+00:00,
2025-12-10T16:00:54.954054+00:00,
2025-12-10T16:00:55.984646+00:00,
2025-12-10T16:00:56.993474+00:00,
2025-12-10T16:00:58.014551+00:00,
2025-12-10T16:00:59.036514+00:00,
2025-12-10T16:01:00.047185+00:00,
2025-12-10T16:01:01.074647+00:00,
2025-12-10T16:01:02.111409+00:00,
2025-12-10T16:01:03.120464+00:00,
2025-12-10T16:01:04.147774+00:00,
2025-12-10T16:01:05.156997+00:00,
2025-12-10T16:01:06.166134+00:00,
2025-12-10T16:01:07.176573+00:00,
2025-12-10T16:01:08.186132+00:00,
2025-12-10T16:01:09.195411+00:00,
2025-12-10T16:01:10.231113+00:00,
2025-12-10T16:01:11.258091+00:00,
2025-12-10T16:01:12.290188+00:00,
2025-12-10T16:01:13.323696+00:00,
2025-12-10T16:01:14.333285+00:00,
2025-12-10T16:01:15.342956+00:00,
2025-12-10T16:01:16.352257+00:00,
2025-12-10T16:01:17.384316+00:00,
2025-12-10T16:01:18.393675+00:00,
2025-12-10T16:01:19.426904+00:00,
2025-12-10T16:01:20.451045+00:00,
2025-12-10T16:01:21.460215+00:00,
2025-12-10T16:01:22.488824+00:00,
2025-12-10T16:01:23.498561+00:00,
2025-12-10T16:01:24.526040+00:00,
2025-12-10T16:01:25.536296+00:00,
2025-12-10T16:01:26.545536+00:00,
2025-12-10T16:01:27.576724+00:00,
2025-12-10T16:01:28.600487+00:00,
2025-12-10T16:01:29.631952+00:00,
2025-12-10T16:01:30.659495+00:00,
2025-12-10T16:01:31.685496+00:00,
2025-12-10T16:01:32.714876+00:00,
2025-12-10T16:01:33.725563+00:00,
2025-12-10T16:01:34.749838+00:00,
2025-12-10T16:01:35.759409+00:00,
2025-12-10T16:01:36.769048+00:00,
2025-12-10T16:01:37.799921+00:00,
2025-12-10T16:01:38.830003+00:00,
2025-12-10T16:01:39.852919+00:00,
2025-12-10T16:01:40.862306+00:00,
2025-12-10T16:01:41.871773+00:00,
2025-12-10T16:01:42.900638+00:00,
2025-12-10T16:01:43.910692+00:00,
2025-12-10T16:01:44.919914+00:00,
2025-12-10T16:01:45.946295+00:00,
2025-12-10T16:01:46.976412+00:00,
2025-12-10T16:01:48.008366+00:00,
2025-12-10T16:01:49.036228+00:00,
2025-12-10T16:01:50.063115+00:00,
2025-12-10T16:01:51.090662+00:00,
2025-12-10T16:01:52.119186+00:00,
